visitorid,itemid,rating
22596,299915,111
22666,54773,112
22778,153778,133
22944,328901,113
22990,32944,111
22990,58905,242
22990,76146,122
22990,81916,111
22990,203569,111
22990,287796,110
22990,322551,110
22990,425963,111
22990,455523,223
22998,219839,116
23076,301278,113
23076,434289,116
23497,55955,113
23645,250369,111
23730,113535,111
23964,32227,110
24067,455793,111
24142,150215,111
24166,175086,111
24409,380302,110
24409,461765,111
24644,38122,118
24662,195234,111
24688,216768,117
24722,65992,111
24722,172532,111
24722,411198,114
24840,250191,101
25040,254196,111
25081,74296,111
25094,345361,111
25156,415331,113
25156,446522,113
25481,299222,112
25809,222888,125
25896,105315,113
25896,395407,110
25922,407506,111
25922,424265,112
26032,19912,112
26189,429846,114
26533,60479,112
26533,148338,111
26533,193408,111
26626,459936,114
26761,83570,116
26872,357054,112
26923,26634,113
27197,209752,112
27326,178108,112
27360,445351,117
27695,369112,231
27695,456056,113
27851,23438,113
27851,63957,110
27851,293799,110
27851,366618,111
28085,201167,111
28161,166100,113
28308,434652,113
28387,372002,111
28524,460188,111
28791,92198,112
28797,133224,112
28896,414044,112
29529,136611,115
29531,92682,113
29659,79378,103
29744,79056,123
29744,264689,122
29757,243980,123
29802,203231,111
29802,393809,212
29835,38239,111
30374,107503,213
30438,260217,112
30633,138931,119
30687,963,102
30812,191547,101
30824,413951,104
31149,198903,113
31236,366186,111
31314,29656,122
31359,14183,112
31557,72252,110
31613,262813,115
31645,179526,110
31645,270383,111
31645,436004,112
31677,248455,111
31741,10457,110
31741,50734,110
31798,25688,113
31798,99296,111
31843,187569,111
31874,285055,102
31929,227790,112
31936,166007,114
32119,154485,112
32160,80858,113
32160,119737,111
32252,133138,170
32358,546,117
32378,269611,111
32378,350397,115
32432,339703,106
32596,430113,113
32787,88325,110
32787,133472,112
32895,37554,228
32904,102434,113
33196,30336,110
33196,31239,112
33196,245474,112
33308,27221,111
33350,154476,114
33571,58638,111
33604,40870,226
33608,279436,111
33717,236158,111
33889,372941,126
33895,244534,111
33946,247785,114
33946,325772,112
34059,5379,113
34157,157375,111
34200,55955,112
34381,416017,112
34519,98178,113
34519,458803,112
34570,76941,113
34598,361106,111
34598,410001,112
34630,443161,111
34648,281211,111
34665,310944,218
34667,284455,111
34705,278586,114
34825,167986,111
34850,295184,110
34923,316753,112
34951,12217,223
34951,387373,111
34951,463280,111
34955,234299,113
35112,161354,113
35157,266322,111
35186,103127,112
35339,443407,114
35623,135864,111
35623,175142,111
35623,196484,111
35623,288525,110
36007,191690,112
36250,133247,112
36310,181527,112
36450,50411,117
36502,1423,111
36502,176605,111
36502,220836,112
36640,150215,111
36682,36620,113
36707,88921,110
36866,122435,110
36866,226092,110
36989,21832,112
37093,393732,112
37183,191733,111
37191,450760,111
37288,119586,113
37382,255708,115
37574,201882,111
37845,463663,112
37972,373842,122
38015,21163,112
38015,427641,110
38102,161663,124
38103,26508,112
38103,86391,112
38103,140532,120
38103,164748,110
38103,200176,110
38103,301602,110
38103,330035,110
38245,126044,101
38711,176162,112
38711,235344,110
38878,312613,111
39203,390093,115
39272,48030,112
39467,135282,110
39480,145721,113
39480,150547,113
39480,151385,113
39480,288887,112
39706,250745,113
39985,173653,121
40024,117075,120
40050,301634,119
40175,97750,113
40251,79524,112
40353,268883,115
40802,312728,111
40879,133052,111
41016,351456,104
41098,84321,111
41278,154448,111
41386,340921,112
41529,27127,123
41903,303776,114
42011,55430,111
42040,334477,114
42059,388085,112
42168,170498,111
42192,231942,111
42261,162745,111
42326,69174,112
42435,315852,116
42552,49673,111
42552,124006,112
42552,150426,111
42552,176424,115
42552,185616,111
42552,234207,112
42552,236862,112
42552,295266,111
42552,302569,111
42552,349273,112
42552,401076,113
42552,412137,111
42669,168386,101
42857,263258,101
42942,62043,114
43176,369053,113
43176,449966,112
43354,134118,114
43393,168224,110
43605,17724,111
43643,21674,115
43687,159380,111
43770,127415,114
43775,429721,111
43804,200793,111
44326,99647,111
44566,84619,102
44880,123175,228
44885,178250,112
45018,216266,111
45018,444593,214
45113,397800,112
45183,43447,111
45270,416855,115
45512,305250,112
45825,90910,115
45825,399503,111
45870,357054,114
45870,407058,110
45969,200802,113
46167,280946,101
46167,311170,110
46535,119639,112
46535,286731,112
46535,303790,112
46535,380440,111
46568,202512,111
46748,151471,104
46805,22436,125
46841,167769,112
47004,260719,111
47029,415660,211
47153,326268,101
47197,99675,111
47433,456748,113
47467,299222,111
47582,89871,113
47803,315543,114
47803,461190,106
48168,56506,104
48245,374092,115
48703,193518,111
48728,379272,110
48728,397067,101
48768,19883,102
48820,10572,342
48820,23165,220
48820,47126,110
48820,125275,132
48820,146422,110
48820,146642,334
48820,171878,123
48820,251040,111
48820,276402,142
48820,286718,122
48820,293733,121
48820,341869,342
48820,348272,122
48820,357529,351
48820,359573,122
48820,382130,334
48820,384180,231
48820,415928,123
48820,425159,123
48820,447067,142
48820,459319,132
48820,461686,115
48896,318333,111
49120,36864,112
49158,88167,114
49266,364074,103
49275,2463,111
49347,39439,114
49384,31976,113
50340,8411,112
50467,286731,111
50555,2416,113
50687,142459,111
50847,415242,113
50921,448481,231
51304,426958,110
51591,456951,111
51595,116675,111
51595,410122,113
51613,345086,111
51670,180751,113
51676,393598,101
51831,169007,111
51831,330084,111
51951,312129,111
52108,397692,104
52183,163297,111
52305,29196,101
52363,113566,113
52406,43830,111
52452,230257,114
52484,383212,111
52493,93558,111
52674,291394,112
52701,104864,112
52860,112461,111
52940,309821,123
52967,290999,111
53051,339808,120
53051,369586,111
53051,403969,111
53164,71748,112
53164,186468,111
53181,239968,113
53691,38180,111
53842,829,112
53842,12404,111
53842,16813,111
53842,34093,111
53842,45738,111
53842,49156,112
53842,49881,112
53842,58059,111
53842,73917,112
53842,82877,111
53842,90360,111
53842,111179,111
53842,119736,103
53842,138661,112
53842,168224,111
53842,217278,111
53842,220797,112
53842,221329,111
53842,232533,111
53842,233735,113
53842,238465,111
53842,250347,112
53842,257597,114
53842,268051,111
53842,272004,111
53842,275150,111
53842,291877,112
53842,293416,111
53842,293808,112
53842,303935,111
53842,305503,103
53842,315543,111
53842,316472,111
53842,317735,111
53842,318333,111
53842,320130,338
53842,324946,111
53842,326324,111
53842,332381,101
53842,336945,111
53842,351307,112
53842,355994,114
53842,366443,111
53842,369447,228
53842,371445,111
53842,372382,112
53842,383100,112
53842,384723,111
53842,400093,112
53842,401682,124
53842,409323,112
53842,409793,111
53842,409804,115
53842,419371,112
53842,420528,111
53842,428423,111
53842,430965,111
53842,433009,111
53842,435624,111
53842,437549,111
53842,465833,111
53925,265350,114
53982,73593,123
53982,289021,133
54002,361834,112
54007,269610,112
54011,277059,112
54017,362760,102
54032,373384,101
54121,140070,111
54210,87820,112
54493,170390,221
54524,88831,111
54524,307443,110
54524,364789,113
54535,34278,114
54535,51346,124
54535,116481,113
54535,157480,113
54639,326551,144
54672,116589,111
54791,296619,161
54845,83647,111
54958,325521,122
54960,91105,110
55018,397262,111
55023,403969,110
55135,164885,111
55270,259487,120
55389,59765,111
55389,349555,111
55389,352258,111
55389,357541,111
55389,375118,111
55389,412516,111
55389,439085,111
55599,377691,122
55609,262099,111
55697,139769,112
55838,65286,106
55838,264297,114
55838,357802,106
55838,384574,112
55843,136815,111
55897,205603,113
56096,423342,101
56203,143860,110
56312,222888,113
56332,398489,114
56541,365889,124
56645,178935,122
56745,457942,114
56775,383785,224
56971,133456,115
57006,119737,110
57088,137697,113
57111,387780,110
57246,362340,104
57499,432357,113
57559,421788,111
57739,249148,111
57905,12984,111
57905,17478,111
57905,36868,112
57905,41979,111
57905,62275,207
57905,69127,112
57905,69619,111
57905,73593,113
57905,87915,114
57905,95426,116
57905,96935,111
57905,128569,112
57905,138196,112
57905,141908,112
57905,150215,113
57905,151178,111
57905,178274,112
57905,178554,232
57905,184628,103
57905,192948,111
57905,204209,111
57905,205111,113
57905,257645,111
57905,267416,111
57905,292444,112
57905,338395,107
57905,341009,112
57905,342777,113
57905,358895,112
57905,358906,111
57905,370213,111
57905,386480,111
57905,392945,114
57905,395497,111
57905,428257,224
57905,429769,111
57905,452986,114
57905,455641,112
57905,456792,111
57905,459583,111
57905,462742,112
57925,134751,111
57929,288267,103
58013,113899,112
58024,351464,107
58024,463871,103
58074,347414,116
58597,6973,114
58597,456889,113
58730,185303,111
58740,94521,112
58970,94757,113
59209,271151,112
59291,12514,102
59291,59586,115
59399,273743,112
59604,257040,111
59776,54089,112
59784,109589,135
59803,278872,111
59832,124065,113
60025,215363,109
60099,154638,111
60497,201367,122
60568,36512,103
60711,11316,111
60711,24417,111
60711,88372,111
60790,135110,111
61323,231400,114
61334,382884,111
61635,56570,101
61720,23332,114
61806,68242,112
62004,312594,113
62058,344388,111
62139,171632,111
62139,336979,111
62155,371336,114
62330,237553,114
62368,104139,113
62377,27020,114
62434,266725,111
62489,51755,125
62602,448690,116
62656,384302,113
62679,184620,112
62694,48030,114
62701,297513,112
62762,412516,113
62893,25662,112
62990,96085,111
63140,178358,102
63156,227318,111
63181,379520,112
63208,362606,111
63274,296614,111
63274,306492,122
63274,441042,111
63351,312728,111
63475,114389,111
63786,294242,110
63786,342530,110
64099,134045,111
64575,199975,114
64763,44759,116
64763,294210,115
64931,120262,112
64931,313810,111
64931,352082,119
64931,390824,110
64931,409425,111
65124,3445,112
65149,363145,111
65210,321385,110
65249,130231,113
65471,257040,104
65737,441852,110
65740,354881,212
65927,29757,114
66052,174074,111
66139,373877,101
66238,2641,112
66313,144991,104
66317,450082,114
67015,445351,111
67264,51767,122
67301,119298,114
67370,434271,103
67712,207825,236
67744,33993,112
67744,333227,120
67803,161453,112
68085,51354,230
68087,368403,112
68318,308978,113
68318,379953,111
68418,82576,103
68449,303790,111
68557,257410,112
68557,357779,111
68601,20201,113
68646,297097,111
68748,147555,112
68759,199975,112
68804,171042,111
69044,91941,112
69044,340194,111
69072,383001,110
69301,367900,111
69301,448453,115
69442,30391,236
69543,189961,111
69543,254932,110
69645,325852,117
69804,428257,101
69880,242910,113
69982,207633,112
70570,49990,111
70678,451238,111
70888,444962,112
70999,235636,101
70999,239555,111
71167,213239,117
71192,279316,116
71272,372603,111
71272,446500,111
71586,461686,103
71689,173065,113
71746,463663,110
71753,158912,122
71927,84160,112
72155,390712,102
72194,164035,119
72232,68048,112
72254,201955,111
72254,292749,114
72302,48030,123
72302,239564,110
72373,461686,112
72569,139725,111
72783,17398,111
72828,161623,112
72944,237422,101
73029,159780,102
73292,57830,111
73292,79524,111
73306,13119,223
73306,102399,213
73306,420565,234
73341,254477,114
73356,143689,106
73483,56630,101
73501,299114,102
73567,320900,213
73635,126307,111
73645,437371,117
73679,240900,112
73819,326974,114
73856,231810,117
73856,365375,101
73856,407403,111
73867,43267,126
73963,187018,113
74080,62613,112
74260,42523,113
74280,140248,111
74404,220003,113
74483,374092,119
74699,138427,106
74832,319608,112
74920,270056,115
74920,345059,114
75424,29195,111
75424,31591,112
75424,90687,110
75424,195809,110
75424,277247,111
75424,288887,115
75424,289096,111
75424,326609,111
75424,341578,112
75424,446102,110
75595,389088,115
75630,79056,345
75653,229544,111
75826,420960,114
76124,272969,113
76301,186214,213
76347,264379,112
76475,61460,101
76565,217068,124
76757,320,101
76757,403,111
76757,829,111
76757,3140,111
76757,10716,112
76757,10885,122
76757,11311,113
76757,16158,111
76757,17478,112
76757,18155,122
76757,21013,113
76757,21573,101
76757,23762,112
76757,26284,111
76757,33993,112
76757,34320,112
76757,37029,117
76757,39773,111
76757,43590,111
76757,43830,134
76757,46156,234
76757,48224,113
76757,53636,112
76757,54431,111
76757,55364,111
76757,57245,112
76757,57788,111
76757,60980,111
76757,62950,101
76757,63133,111
76757,67438,112
76757,68708,113
76757,70929,111
76757,71594,112
76757,78281,102
76757,81434,111
76757,85579,113
76757,86675,113
76757,88985,111
76757,89775,111
76757,89977,111
76757,90453,112
76757,90931,112
76757,93680,111
76757,97454,112
76757,98012,111
76757,99684,111
76757,100282,111
76757,101666,111
76757,103221,111
76757,103407,111
76757,104560,110
76757,108021,134
76757,115258,127
76757,116589,112
76757,116677,111
76757,118914,112
76757,119736,502
76757,120990,112
76757,123175,112
76757,125232,111
76757,128118,111
76757,129193,111
76757,130226,111
76757,134264,112
76757,136971,111
76757,144704,222
76757,150809,111
76757,151178,111
76757,161925,112
76757,166100,111
76757,168224,112
76757,173766,123
76757,177695,111
76757,185570,123
76757,191303,113
76757,191973,111
76757,195423,111
76757,199417,111
76757,206970,111
76757,208450,111
76757,208529,111
76757,222166,111
76757,226726,123
76757,229555,112
76757,230045,112
76757,231482,111
76757,233644,121
76757,234299,111
76757,235905,111
76757,241752,115
76757,242521,111
76757,243171,112
76757,244636,112
76757,247862,111
76757,247879,112
76757,249434,111
76757,256432,102
76757,257921,113
76757,264915,111
76757,266024,114
76757,267010,111
76757,268081,111
76757,269258,112
76757,269955,115
76757,274710,111
76757,276481,111
76757,278893,112
76757,280375,224
76757,281854,111
76757,285870,123
76757,285895,112
76757,291559,123
76757,301721,112
76757,302066,111
76757,310514,114
76757,312251,112
76757,314789,117
76757,320970,111
76757,321385,111
76757,322211,112
76757,323084,111
76757,327408,111
76757,328298,111
76757,329900,111
76757,332821,111
76757,336314,112
76757,340377,112
76757,344921,111
76757,345694,114
76757,346673,111
76757,348039,113
76757,350240,125
76757,352042,111
76757,353433,112
76757,364875,111
76757,369158,111
76757,369882,111
76757,380438,111
76757,381508,111
76757,382885,113
76757,385520,112
76757,385769,111
76757,386527,112
76757,387373,222
76757,387478,113
76757,397498,111
76757,400321,112
76757,406473,111
76757,408504,111
76757,409138,114
76757,411527,112
76757,412143,111
76757,412516,111
76757,412956,111
76757,413174,111
76757,414654,112
76757,420960,111
76757,421606,112
76757,427229,111
76757,428531,123
76757,430034,113
76757,435727,111
76757,436115,112
76757,439868,112
76757,440807,112
76757,442131,113
76757,443914,111
76757,444899,111
76757,448453,112
76757,449403,112
76757,457970,111
76757,458271,134
76757,459717,111
76757,463329,111
76757,465226,114
76913,440560,111
77032,346996,223
77215,2463,111
77215,154638,112
77253,308823,114
77261,254418,113
77268,314657,111
77524,48582,215
77659,243949,236
77669,36054,113
77868,460924,114
78006,213448,111
78067,259913,112
78383,175356,112
78476,204057,101
78755,48030,111
78878,88831,111
78882,408747,111
79201,304669,112
79279,23762,111
79312,394678,102
79452,46156,224
79566,32971,222
79681,464960,118
79721,91676,101
79721,371664,122
79721,443344,110
79743,215879,111
79743,434289,113
80034,359959,111
80204,47704,101
80204,215782,110
80204,234215,110
80204,350270,112
80244,409804,111
80267,68607,116
80364,399983,111
80434,366228,112
80580,322717,112
80604,88806,111
80635,250015,112
80964,346437,111
81526,458919,111
81638,369112,211
81688,99610,113
81742,65000,123
81811,301721,122
81811,363909,116
82009,149154,111
82051,133456,113
82084,287557,118
82251,28307,112
82318,193195,110
82318,406775,110
82581,373138,112
82759,299667,111
82819,409804,111
83052,74833,111
83319,177618,111
83368,261265,115
83600,134767,115
83600,313163,226
83600,329595,113
83748,369908,116
83823,317557,111
84233,215051,239
84275,52928,113
84327,264774,115
84494,137427,111
84580,48386,112
84646,11226,129
84660,191547,111
84928,399031,111
85201,18859,110
85201,27897,111
85201,32227,110
85201,80292,113
85201,228017,110
85383,251751,220
85490,113535,101
85555,368283,111
85658,281812,101
85658,304669,102
85734,50133,111
85734,66548,112
85734,66587,111
85734,103952,112
85734,140861,113
85734,144507,122
85734,148090,133
85734,307247,111
85734,314397,113
85734,337395,103
85734,408203,111
85734,418746,111
85734,425601,111
85734,441814,102
85734,444763,113
85916,330894,114
86005,100431,113
86049,390645,112
86082,416017,111
86123,206930,112
86403,413902,111
86444,375820,114
86487,244528,141
86609,25744,112
86669,343033,124
86690,278272,112
86810,461091,110
86982,324290,116
87226,126236,126
87364,373138,202
87380,440677,111
87559,412855,113
87660,292516,114
87886,458526,112
88182,303190,121
88183,4442,102
88361,320130,111
88427,202933,112
88696,458489,113
88841,37068,118
88920,270523,125
89000,336842,124
89237,282933,111
89426,171878,119
89656,8347,111
89783,213834,101
89783,445351,114
89882,133472,112
90080,272813,114
90093,368337,111
90186,346996,114
90253,57245,112
90352,425758,112
90496,98893,117
90496,365832,116
90565,179813,112
90902,296795,101
91370,171143,112
91900,179601,121
91913,248630,101
92098,314201,113
92159,190260,113
92347,372397,115
92384,5073,111
92384,166129,113
93232,314789,111
93328,323641,111
93424,128745,113
93652,335940,112
93887,444899,111
93978,157441,112
94030,101718,112
94030,125925,113
94030,222868,113
94030,439726,113
94071,145403,117
94177,460553,111
94182,461686,114
94235,292658,115
94463,257040,110
94463,289249,110
94529,449489,118
94751,217605,116
94832,411959,113
94994,389572,111
95059,362851,112
95090,450455,111
95161,40499,113
95233,181483,111
95536,261455,140
95794,430550,113
96196,416530,114
96387,388536,111
96558,171878,114
96640,249469,111
96705,346186,111
96947,68070,101
97112,53151,108
97209,331114,111
97480,320526,111
97675,17798,211
97675,91547,313
97675,98633,312
97675,208884,203
97675,344616,203
97865,231352,112
97958,167399,140
97992,257040,111
98071,42841,141
98071,127688,133
98071,288105,139
98071,331381,104
98071,388333,114
98071,400644,125
98093,336842,113
98364,365512,101
98371,145100,121
98492,216425,111
98499,283971,128
98772,319900,111
98799,305833,114
98887,75195,101
99015,74497,110
99081,170262,111
99160,387105,113
99569,449391,111
99589,212956,111
99634,336248,111
99661,363302,110
99743,424387,102
99830,219821,119
99830,329443,101
99915,359439,112
99962,228644,111
100012,196659,111
100020,70387,112
100067,450082,112
100198,186933,112
100439,263338,115
100459,444006,111
100539,214847,111
100790,288340,110
100809,36117,111
100809,81944,111
100809,425892,111
100840,187913,111
100852,4001,113
100894,325623,124
100988,104815,110
100988,377454,111
101161,199975,113
101175,31591,110
101175,74634,223
101175,91086,113
101175,98374,211
101175,130352,225
101175,152260,229
101175,158575,210
101175,234215,215
101175,276240,212
101175,281717,124
101175,285637,211
101175,288887,213
101175,316239,110
101175,415020,112
101175,446102,122
101483,317513,112
101633,224295,111
101747,393562,111
101821,342331,111
102019,49521,114
102019,150318,102
102227,51143,111
102454,413125,103
102507,23914,112
102507,437106,110
102636,239514,111
102676,162745,112
102742,126214,115
102877,268883,114
102957,109598,115
103171,254875,111
103408,287647,111
103637,2422,112
103637,12728,112
103637,150098,112
103637,352889,113
103637,386049,111
103744,167337,104
103808,325772,114
103993,16775,222
104058,19545,101
104058,118932,129
104058,175859,111
104058,291898,110
104058,446196,110
104182,394052,112
104260,294790,112
104434,187026,112
104522,441645,112
104560,301020,113
104815,129111,114
104850,321129,112
104866,272969,112
104929,196316,111
104974,86894,111
104974,155566,112
105003,243406,113
105033,185896,114
105090,161566,112
105164,385475,114
105283,256721,111
105465,432842,105
105552,270081,111
105693,137791,104
105795,94773,111
105857,81494,111
106106,330264,114
106381,84310,112
106470,272667,113
106515,267663,101
106626,212006,122
106733,46644,111
107007,378862,111
107025,317226,114
107314,348069,111
107692,246610,111
107797,450082,114
107935,189041,113
107944,13224,114
107998,69799,101
108101,287017,101
108464,268883,111
108570,183511,101
108759,415781,149
108813,134484,111
108868,22814,110
108972,290465,128
108997,73732,145
109095,153767,112
109106,68902,101
109184,24089,111
109184,142162,110
109184,176399,112
109184,239073,111
109184,321379,113
109246,296795,113
109293,79956,112
109357,14003,112
109357,39028,111
109357,106874,111
109357,120098,232
109357,140527,232
109357,172370,232
109357,256146,240
109357,263501,232
109357,273872,222
109357,306494,123
109357,354106,232
109357,388308,112
109408,165337,114
109433,313887,112
109662,26634,116
109670,73322,111
109717,66811,200
109721,218329,111
109826,89775,111
109850,329408,144
109926,456850,111
109982,48030,113
110014,395435,114
110090,80858,113
110227,389135,110
110412,171878,115
110412,461686,113
110481,20187,111
110561,264179,113
110561,307770,101
110606,219512,111
110660,67013,113
110905,219205,116
111080,379480,115
111209,238911,116
111325,187374,113
111382,232062,113
111668,238865,111
111748,20218,111
112167,379599,103
112253,316976,111
112257,180018,101
112323,11279,106
112417,5848,112
112518,354153,114
112578,275434,111
112596,350968,112
112757,317743,217
112757,321963,216
112855,444741,111
113028,227790,112
113137,122449,113
113137,367490,134
113137,422494,114
113314,275294,110
113592,334823,111
113634,122231,112
113995,207344,114
114108,108936,112
114349,219512,111
114403,202762,114
114450,290207,111
114828,90295,116
114903,372188,112
114915,331526,112
115055,442172,112
115257,84151,113
115257,96813,113
115257,218177,114
115257,275705,115
115257,465606,113
115417,299677,118
115573,441852,112
115977,309778,115
116086,1211,222
116095,14644,113
116095,464731,118
116133,48731,125
116236,48541,120
116272,170262,113
116322,123026,111
116458,46660,111
116771,110077,112
116830,211418,111
116997,307428,111
117236,237561,113
117422,91152,111
117422,361656,114
117436,268586,111
117934,55544,112
117934,164538,114
117934,307279,111
117973,379551,112
118071,417927,104
118129,201742,111
118129,247059,123
118200,174923,113
118234,372732,111
118274,83556,113
118319,332227,110
118450,394204,101
118487,420960,112
118543,443865,113
118580,250439,212
118594,296631,116
118734,144507,116
118831,23054,124
118899,144392,111
118899,366501,112
118926,389158,110
119044,277746,111
119084,206664,101
119139,261582,120
119168,81319,112
119328,132683,111
119362,368403,112
119389,66073,113
119389,167827,120
119389,175610,121
119389,237413,120
119389,288525,110
119389,297931,120
119389,387504,110
119389,390167,110
119389,426619,113
119389,445459,110
119446,81995,111
119455,185982,111
119531,81939,111
119578,9877,113
119578,180799,111
119770,182250,111
119781,255093,101
119827,20932,111
119827,41169,111
120036,249768,111
120226,50276,132
120226,363007,114
120331,222888,113
120444,159996,112
120444,340994,111
120444,351469,110
120511,118557,111
120532,452661,114
120601,229071,111
120699,446411,101
120959,156858,113
121179,449912,111
121214,312060,115
121299,202460,221
121299,277943,222
121320,364437,112
121320,387756,112
121322,465951,114
121370,123664,113
121481,140532,211
121688,12836,110
121688,15335,110
121688,25353,111
121688,80582,111
121688,105792,111
121688,200793,111
121688,237753,111
121688,302422,112
121688,317178,111
121688,380775,111
121688,400969,111
121714,309819,112
121775,160904,102
121914,142819,114
121914,294438,114
121951,5730,111
122126,302307,113
122153,312699,113
122239,426129,113
122329,230813,216
122337,447360,111
122347,383589,106
122385,395749,113
122478,248455,115
122552,103567,110
122568,342443,110
122598,56570,112
122700,336228,113
122728,441751,111
122929,171815,111
123031,179601,111
123036,105430,111
123291,285006,112
123533,259455,113
123702,294210,113
123724,256721,113
124102,235047,114
124114,73359,114
124220,403146,113
124269,44888,111
124269,382787,111
124489,332175,101
124511,381974,112
124971,187138,116
125048,459989,116
125098,358485,111
125197,347014,112
125208,339808,113
125307,361554,130
125643,334296,101
125651,169571,121
125728,178498,111
125728,305008,111
125728,372188,112
125769,309557,101
125769,441966,101
125998,441668,111
126139,456975,121
126230,295448,113
126393,139515,113
126643,191763,112
126771,334942,112
126779,183756,110
126779,271236,112
126834,291609,111
126834,339545,111
126834,453192,122
127240,406071,220
127366,420960,112
127425,143000,122
127452,121835,111
127452,359910,111
127579,121078,116
127718,31853,101
127910,139085,112
127910,425009,111
128066,375118,112
128147,167121,111
128147,259330,115
128188,112417,114
128223,302563,115
128491,9877,112
128578,92678,103
128727,205663,114
128727,346015,117
129046,281217,111
129095,369447,110
129198,187132,113
129237,448601,112
129434,269088,113
129438,384470,104
129443,21886,103
129642,298771,113
129689,226828,108
129708,125751,211
129811,66691,121
129940,277275,116
130028,268755,112
130028,304154,110
130293,246090,118
130293,464960,112
130294,426657,111
